AMZN,ALL,CBOE,COP,CVX,GS,IBKR,JPM,LLY,MET,PGR,SFM,TAC,XOM
362.73,267.46,110.65,36.07,74.77,319.22,14.56,106.31,-164.62,202.38,43.66,63.05,47.93,32.32
91.98,263.59,8.28,46.99,45.47,348.84,13.84,164.06,-459.63,294.03,77.86,122.88,42.94,58.83
53.02,198.39,93.91,105.58,80.79,289.37,5.34,139.49,92.84,166.53,61.14,66.41,60.21,72.82
186.96,112.41,20.88,62.81,74.09,284.10,4.37,143.90,-468.65,230.76,98.08,78.90,47.03,35.09
187.92,133.15,-9.03,43.42,100.25,359.55,25.12,104.96,-18.94,203.87,64.85,64.57,60.11,42.77
140.25,115.48,142.59,81.16,20.59,151.57,12.16,142.30,6.30,200.57,114.17,114.76,28.45,30.80
195.35,124.65,2.29,63.84,57.07,381.89,13.34,140.96,129.73,218.65,67.22,89.89,69.82,36.16
48.55,148.32,55.09,57.77,96.43,492.70,16.57,179.16,86.77,180.24,72.27,72.42,19.47,46.16
67.39,408.00,40.64,75.83,64.25,290.22,13.18,138.66,-41.78,261.55,60.51,72.85,36.11,46.17
12.47,182.27,71.34,58.75,46.55,406.62,16.17,160.20,-74.35,155.20,43.66,86.95,42.21,47.38
60.49,210.19,38.87,65.41,36.02,397.30,19.60,124.00,32.92,420.84,73.31,66.46,44.99,47.93
35.01,138.19,273.53,82.85,85.97,456.73,11.03,137.51,-128.20,181.46,52.35,100.06,44.64,26.15
106.59,233.54,75.31,52.62,65.52,235.51,23.02,127.02,-51.39,130.06,62.35,117.57,51.89,50.77
173.05,475.14,71.43,59.77,54.64,368.50,10.57,156.78,-386.33,109.94,78.92,41.58,63.96,34.42
156.72,155.91,69.65,68.08,29.41,179.94,5.30,182.32,236.97,148.89,63.33,81.05,8.11,40.60
54.90,172.15,49.11,31.28,39.74,367.69,18.75,198.64,127.83,166.14,61.56,92.12,87.23,56.15
140.69,242.93,127.33,61.83,45.66,242.63,12.07,120.59,-219.54,222.85,74.19,77.06,36.42,50.25
137.09,337.06,98.90,41.58,58.42,183.23,9.46,110.92,-203.36,251.37,64.26,139.43,43.33,19.29
41.77,243.30,190.70,59.83,88.58,311.53,7.39,134.33,14.84,217.59,65.82,101.93,34.12,28.23
50.04,165.44,43.71,107.85,47.29,302.59,15.50,178.81,-420.37,191.22,57.19,82.53,37.86,35.27
105.56,420.79,20.02,46.26,67.92,408.86,9.13,139.87,229.54,275.68,71.29,136.25,88.41,22.23
88.62,158.33,62.24,75.83,115.49,262.25,17.79,140.01,-203.69,206.81,67.16,91.46,23.59,38.09
207.07,184.02,67.88,45.64,41.88,398.67,10.59,163.38,346.24,189.40,65.27,141.29,51.53,62.91
221.61,115.01,203.51,67.40,54.92,282.96,20.82,158.32,263.40,142.76,54.81,64.09,52.17,44.01
184.35,137.78,114.81,99.90,57.30,212.13,19.37,120.02,-14.04,222.88,74.12,79.35,18.79,26.95
116.27,199.88,40.15,80.32,41.90,415.34,14.28,120.47,250.54,254.87,58.29,111.49,43.41,25.67
83.04,502.70,130.51,71.67,75.99,331.17,14.08,127.16,250.24,261.72,58.94,136.57,23.79,63.78
69.89,383.98,110.15,52.34,117.46,403.74,19.37,159.90,302.69,144.58,71.34,58.73,10.04,51.11
126.26,127.54,113.80,101.93,28.07,300.99,5.01,178.62,158.31,190.41,60.52,82.15,63.15,53.36
135.21,289.47,62.57,52.48,72.22,358.55,16.81,176.23,121.08,151.94,83.37,80.43,54.78,37.39
94.16,172.57,109.47,69.25,76.61,251.65,8.77,147.91,-428.25,178.21,69.47,102.93,72.46,63.14
130.81,169.89,123.69,83.68,65.31,304.51,14.95,210.99,-184.39,246.04,57.92,84.59,45.28,37.13
43.46,256.21,28.45,95.22,59.63,293.60,11.51,142.74,44.78,219.36,62.65,157.00,18.80,31.71
85.13,150.70,48.46,82.47,49.14,258.78,12.58,168.43,393.44,181.48,72.61,72.31,17.47,44.72
60.64,398.98,132.67,60.46,16.13,416.93,11.88,148.68,120.00,105.95,59.37,81.92,51.25,38.10
71.91,329.06,37.95,72.47,113.31,335.10,17.25,233.32,-280.00,164.73,43.66,83.62,80.05,50.64
59.05,195.32,30.58,45.58,53.97,472.24,11.68,111.86,-87.00,150.17,62.56,69.95,86.74,37.47
69.51,299.45,20.28,71.76,26.99,141.40,23.76,136.20,435.21,331.00,85.83,45.47,31.30,45.05
74.52,127.55,32.66,30.05,88.14,368.86,18.23,139.28,409.59,144.45,67.63,113.63,60.03,39.15
105.41,196.58,142.00,67.26,84.12,297.59,9.20,212.03,58.64,227.21,69.49,67.83,50.35,12.95
103.09,263.79,79.00,62.03,39.38,241.68,8.75,209.95,158.47,192.42,90.69,87.55,17.10,40.93
119.31,224.40,290.50,46.03,19.79,219.53,8.94,150.92,110.32,290.61,60.92,79.01,37.78,65.60
137.05,460.92,233.10,91.38,58.23,335.92,13.79,111.63,-729.10,277.52,59.46,103.05,26.40,52.68
109.15,158.02,44.29,51.38,45.58,411.30,9.56,115.00,301.65,202.97,70.27,72.57,36.89,43.77
125.85,190.43,76.70,70.72,49.94,219.29,8.24,131.74,155.64,193.07,68.53,56.07,85.30,36.07
119.22,136.65,202.44,56.79,48.61,494.92,13.74,95.34,63.32,143.01,81.06,66.68,62.41,46.03
99.67,217.68,86.94,32.97,51.32,293.83,7.84,188.18,-178.38,183.75,66.95,90.42,68.86,49.66
214.60,183.37,62.78,60.05,54.51,328.17,15.00,110.24,-155.58,165.68,54.39,81.07,56.12,91.84
182.03,82.44,78.84,32.00,41.51,266.87,15.35,118.53,-294.06,253.54,91.30,70.15,33.89,32.45
95.94,249.39,49.42,113.85,66.42,286.74,12.81,180.12,-862.42,126.44,123.39,135.61,65.76,31.99
130.37,153.59,68.92,56.42,57.24,454.39,8.15,146.10,146.10,261.03,70.27,89.76,42.41,37.11
184.21,164.88,13.49,53.49,39.14,278.68,13.10,147.50,112.30,133.22,71.46,121.23,37.06,49.97
77.41,364.56,16.60,73.93,45.66,396.46,19.77,134.92,-395.32,163.63,65.50,86.94,24.72,57.96
43.50,149.55,37.03,55.38,30.72,321.33,12.58,218.46,-115.92,198.64,71.54,68.76,70.16,55.34
69.07,131.48,89.91,57.96,102.56,345.68,12.93,138.19,357.55,380.32,73.11,186.81,67.25,35.77
122.36,185.63,15.60,63.54,39.60,405.07,10.72,185.62,316.65,413.57,61.32,164.27,34.34,76.85
3.65,149.87,100.28,47.35,104.31,375.63,16.54,167.06,-622.73,170.14,55.84,64.00,46.19,51.25
53.93,221.44,168.52,79.73,66.10,329.66,8.19,182.55,-188.85,199.97,62.75,85.66,26.23,72.92
47.06,128.76,61.93,61.07,70.02,456.38,19.68,143.50,-141.61,179.16,59.07,90.94,35.99,59.55
74.72,136.57,85.12,49.06,41.84,350.89,17.97,131.35,238.36,192.91,56.19,49.50,45.20,54.63
100.30,223.44,59.60,71.78,62.86,245.12,6.46,153.32,127.41,162.49,64.29,90.34,32.18,45.23
84.52,362.89,37.52,43.49,35.44,303.58,14.02,164.42,272.02,169.62,53.32,81.59,57.37,61.08
87.03,566.86,26.49,130.64,96.93,365.35,11.47,143.14,-36.82,245.49,71.72,118.08,56.32,44.63
42.10,195.35,83.56,40.20,20.98,385.33,17.95,119.04,371.58,289.32,73.33,87.74,22.07,46.72
56.46,206.25,142.81,106.20,38.71,223.65,10.23,163.02,256.25,144.38,43.66,185.37,40.15,40.58
49.06,82.44,79.16,56.27,73.81,340.51,6.61,136.21,-36.05,186.54,70.16,97.23,-1.92,43.06
91.01,156.15,105.56,50.48,27.85,193.32,14.06,111.03,41.60,229.07,57.29,161.06,51.73,58.54
94.81,168.52,40.55,57.91,56.15,446.30,13.08,143.39,-123.74,240.89,78.10,81.03,94.08,55.72
55.46,240.12,61.92,45.46,64.86,288.22,11.26,169.22,-383.13,229.33,64.11,62.44,20.27,27.06
0.70,211.61,55.41,82.16,71.32,397.44,18.68,148.98,44.53,174.36,43.66,272.56,66.49,56.35
113.00,122.78,32.71,45.83,42.74,233.37,17.78,113.12,249.56,216.93,43.66,80.36,91.21,18.89
174.24,165.38,103.26,58.76,40.19,467.03,12.56,162.21,-49.29,161.49,61.51,162.05,99.04,82.30
140.27,219.30,183.41,111.95,28.49,346.29,12.38,113.71,78.01,182.59,56.60,133.42,68.17,81.71
20.76,171.61,19.84,43.97,30.52,369.60,10.31,135.70,443.63,159.69,63.14,53.87,81.71,16.78
72.51,490.74,94.34,33.47,59.06,273.68,15.36,188.49,265.31,313.40,64.79,82.23,37.25,39.18
72.85,262.39,25.66,137.70,46.33,461.60,8.68,134.50,102.95,182.06,56.51,183.55,30.23,52.84
89.59,223.66,192.06,83.95,94.02,262.89,8.75,97.93,-92.33,164.52,62.64,109.78,110.92,34.66
67.57,506.38,20.56,49.61,46.69,322.22,17.99,108.83,47.74,416.17,65.52,66.66,62.12,55.28
51.12,212.35,40.03,86.67,125.17,345.09,8.88,174.65,81.70,165.73,75.10,89.96,26.32,36.14
51.55,371.79,64.26,37.68,20.43,282.20,14.80,205.23,106.33,204.54,69.10,135.76,59.73,86.36
25.68,176.14,169.92,97.31,114.11,266.14,10.58,119.44,150.38,122.92,85.16,94.48,43.19,81.20
88.66,230.09,-20.11,53.34,38.62,355.18,13.28,121.96,-91.73,189.34,63.69,97.37,74.24,32.42
169.60,324.33,78.11,88.41,86.20,256.02,20.97,103.46,-86.41,151.96,64.86,179.65,30.95,44.73
