AMZN,ALL,CBOE,COP,CVX,GS,IBKR,JPM,LLY,MET,PGR,SFM,TAC,XOM
25.43,198.02,28.14,48.64,41.63,194.98,16.62,142.42,-135.18,174.13,92.92,71.12,49.78,55.77
-46.28,117.59,31.82,65.19,47.47,261.30,20.00,141.72,377.13,141.10,59.18,84.53,70.81,43.17
10.25,225.21,23.99,67.32,29.75,194.15,31.08,134.29,127.82,151.44,66.31,35.15,113.85,65.30
24.75,362.66,-50.37,117.69,40.73,290.33,11.46,160.79,18.54,117.29,61.08,63.86,77.26,54.80
-25.53,350.44,205.58,109.35,60.71,336.38,8.51,191.95,-284.96,175.25,60.38,33.11,201.68,42.59
-21.40,273.90,17.83,41.85,89.31,287.57,24.62,151.40,-120.51,163.35,57.35,28.48,38.83,60.07
-11.85,213.35,-0.97,36.42,49.61,517.68,13.60,118.26,-552.75,137.61,56.18,24.69,56.87,55.15
0.15,154.17,52.56,50.69,46.94,331.09,20.82,136.57,-194.29,152.54,67.34,41.25,122.87,95.22
-14.89,157.66,24.80,99.72,64.65,276.48,12.80,149.13,29.42,308.98,71.52,43.10,148.89,42.09
-12.33,193.82,6.92,107.21,81.87,154.46,19.56,130.84,-187.70,144.94,76.21,27.63,109.55,50.50
-4.50,142.03,68.53,149.22,22.48,508.55,17.01,136.49,148.60,228.90,60.19,36.90,164.86,41.59
-37.26,255.76,90.24,137.08,51.82,483.32,9.94,209.94,33.90,216.05,59.36,67.79,2.64,46.36
34.58,192.91,-9.29,50.53,57.93,183.34,11.77,124.32,245.16,230.67,63.91,56.30,88.63,32.21
-23.27,254.57,22.72,80.02,48.33,513.53,6.77,90.89,-376.54,220.96,43.66,81.02,138.74,47.85
21.05,184.49,70.34,55.68,107.72,443.49,6.77,288.02,-88.74,190.54,73.19,39.72,61.37,34.97
17.26,82.44,22.09,81.11,34.03,335.14,8.53,107.47,-137.11,258.19,64.95,45.46,100.59,36.05
-26.21,109.07,50.96,59.82,24.42,340.13,20.75,206.11,381.96,252.07,89.52,94.16,76.65,69.16
-2.67,320.08,12.95,58.26,51.44,368.51,9.83,176.37,102.07,151.48,58.49,55.82,16.75,56.49
-2.83,275.36,43.42,56.94,38.22,386.29,12.74,145.57,-281.94,260.59,70.61,28.99,151.75,28.71
121.84,186.34,-32.60,64.49,57.17,333.94,9.54,117.44,-114.34,206.88,55.63,85.07,85.02,41.63
15.91,164.57,29.26,15.44,72.61,345.82,17.28,166.19,318.08,160.43,57.17,66.33,35.49,58.52
-32.00,153.43,47.87,99.19,51.68,341.57,29.66,113.79,-150.09,263.49,67.89,17.92,94.26,46.75
-25.27,218.12,67.89,152.14,28.86,277.10,10.11,149.39,-121.74,205.19,85.21,51.23,71.44,31.48
29.49,132.29,22.83,73.51,31.41,167.50,15.88,156.72,-411.01,360.32,55.54,54.81,90.11,60.91
141.70,136.56,68.41,64.44,36.45,537.26,16.70,136.55,52.86,365.59,56.94,34.51,14.85,30.66
39.13,169.08,126.79,47.76,63.99,316.71,28.12,151.39,-65.70,250.21,73.65,21.52,76.47,41.95
-16.85,251.67,-27.39,44.40,75.27,243.49,8.02,190.93,270.20,465.67,43.66,197.76,53.26,66.18
-8.77,130.62,15.81,62.76,59.29,347.57,27.02,134.28,-80.44,149.37,64.73,24.31,71.28,48.69
-14.92,182.72,6.91,41.33,76.18,330.95,7.61,103.79,-410.52,212.35,71.53,89.65,194.00,65.88
-22.08,283.14,89.36,95.08,49.20,361.06,14.82,125.41,47.93,215.55,57.23,52.31,196.03,56.35
-12.50,174.78,15.44,33.50,81.65,461.45,9.96,121.82,-155.24,154.88,62.57,54.10,110.51,38.52
-38.88,201.08,-8.49,51.61,79.73,294.67,18.32,125.99,-1.75,168.52,66.56,60.48,55.25,39.18
82.03,199.11,-9.83,42.35,53.52,198.42,19.03,167.53,-62.07,226.49,65.29,56.10,-29.41,41.03
42.31,298.85,84.93,59.72,53.17,325.68,10.85,139.62,65.46,182.92,53.90,56.95,30.31,39.94
-14.13,146.59,44.12,39.64,95.15,389.31,19.88,234.86,-257.18,251.23,95.53,47.56,79.27,29.19
33.84,199.22,46.82,73.84,60.46,241.95,10.55,134.76,-95.49,197.53,67.93,108.26,64.28,62.38
1.86,207.04,113.64,57.34,24.33,304.51,10.64,148.72,-197.04,113.35,43.66,120.00,43.18,65.47
115.00,186.96,167.06,119.36,73.78,477.97,17.53,169.80,27.19,349.89,59.53,30.02,149.63,30.35
-13.36,142.49,28.29,82.34,45.86,286.66,12.67,155.49,-136.39,131.64,58.19,57.98,161.79,41.21
156.11,171.66,1.46,65.58,44.12,286.20,24.39,173.83,-63.89,342.66,58.52,82.75,165.20,39.94
-66.03,139.14,57.96,71.06,86.50,294.07,21.15,163.57,-61.46,169.61,43.66,56.95,122.29,50.73
65.92,265.00,35.27,37.70,55.26,405.29,24.83,111.94,107.53,184.70,60.77,59.09,93.56,28.80
33.39,133.74,6.27,74.34,73.98,217.67,21.96,132.60,143.95,155.85,59.27,25.36,68.42,47.75
23.79,201.24,51.71,63.70,59.57,275.48,14.16,160.56,-112.75,266.94,62.23,39.92,69.83,56.71
-35.67,82.44,64.82,69.25,61.78,312.22,11.43,216.35,-138.42,220.42,55.85,124.15,44.05,40.03
57.62,114.07,-7.57,44.29,35.54,310.87,11.14,150.85,-394.35,159.57,63.69,67.81,1.23,49.85
-0.96,124.23,46.62,61.49,49.95,194.27,14.91,236.65,14.69,195.91,71.03,12.85,75.89,54.75
21.27,357.96,101.26,42.96,76.81,432.84,22.02,152.35,194.44,218.66,64.64,46.71,185.26,64.25
-36.23,255.91,40.76,34.89,55.66,423.34,5.84,198.06,-144.00,236.02,80.08,62.41,50.79,35.26
17.62,118.82,54.01,56.68,64.14,408.81,8.53,146.87,-133.08,181.19,62.20,56.64,87.70,37.30
5.64,143.65,22.94,33.53,65.55,442.47,30.02,144.28,-20.89,658.57,79.65,20.32,21.61,38.16
29.46,362.55,42.33,52.03,69.43,429.14,4.24,107.59,152.22,97.02,63.71,88.20,66.97,56.84
-48.06,158.72,22.65,59.18,41.57,274.39,25.26,152.60,4.20,169.58,61.33,106.27,22.08,33.50
-15.23,211.25,63.28,56.67,55.78,432.94,6.57,105.12,16.13,384.14,67.41,87.36,75.28,55.98
25.12,300.94,88.65,128.15,53.50,125.47,7.53,261.53,137.77,221.35,71.74,36.22,119.43,57.12
46.38,203.03,31.37,98.30,30.58,353.01,14.16,157.43,115.07,221.10,53.13,59.39,76.50,47.69
22.76,123.00,49.07,70.98,78.05,151.42,9.24,120.64,-11.76,153.51,56.11,93.14,-10.42,41.95
-37.24,136.20,28.48,101.38,10.45,272.23,21.78,119.42,-47.48,276.36,57.08,61.23,102.97,37.53
19.42,269.01,-6.17,62.14,43.09,232.73,10.93,145.67,172.58,197.88,61.89,42.94,83.41,37.65
-25.92,126.49,-4.39,111.32,62.70,421.62,4.54,169.53,11.33,330.79,65.57,64.54,55.27,45.06
62.25,192.71,120.38,58.28,61.36,391.11,10.84,148.77,126.95,153.40,53.21,64.85,-6.27,27.16
14.34,124.58,60.71,45.83,33.82,461.11,10.02,179.31,227.13,151.75,58.36,87.39,124.28,60.46
-7.42,115.79,48.35,47.30,73.93,423.20,12.26,172.36,264.11,183.73,65.30,81.41,153.83,93.75
-1.39,556.67,16.78,76.43,109.87,285.15,16.00,192.13,-56.72,179.28,58.67,42.70,36.06,34.89
-80.86,195.14,-32.18,25.80,80.60,408.04,12.42,149.53,-48.84,206.66,63.13,75.92,73.37,67.44
3.57,197.97,1.55,72.42,43.50,361.00,8.67,143.20,85.82,147.90,60.18,35.53,24.59,40.68
1.87,127.45,35.10,43.95,99.14,433.07,15.42,137.87,34.97,236.02,62.84,29.78,127.44,31.78
109.36,161.55,-22.64,76.74,41.06,493.37,7.04,170.16,91.46,227.82,69.95,125.96,56.49,44.55
-36.96,254.71,-2.57,57.96,26.95,468.10,30.84,165.46,358.64,149.28,60.81,26.53,-19.26,88.19
11.17,188.26,12.68,39.87,54.62,360.25,15.56,164.37,73.31,214.96,64.17,23.37,74.86,70.89
-56.40,269.04,104.86,75.97,28.88,303.68,13.04,164.02,44.16,220.18,99.65,122.22,93.73,28.10
-3.17,251.04,10.83,75.03,46.29,419.15,12.99,205.10,12.27,175.27,58.80,36.92,17.65,70.15
-22.81,375.08,85.57,51.35,46.33,270.90,9.58,145.41,-195.36,201.54,73.48,50.79,62.52,32.79
-15.22,112.57,39.49,85.86,95.61,596.14,17.89,154.12,465.98,148.50,65.63,32.61,191.86,37.77
75.70,146.76,8.77,73.43,100.36,337.60,24.12,186.33,-164.34,229.18,55.76,28.07,91.41,40.68
-18.39,163.53,9.34,71.14,64.39,298.17,16.96,204.15,-154.90,192.33,64.57,39.65,50.87,64.06
11.58,82.44,4.15,62.70,29.19,370.51,13.89,155.94,85.24,202.56,63.16,49.29,182.36,36.73
-13.94,125.90,18.56,75.74,136.40,356.21,11.64,149.27,47.00,380.81,65.40,27.23,48.42,45.77
2.99,188.85,-40.99,64.27,73.69,306.89,10.05,150.55,39.81,194.19,64.19,30.06,93.48,15.80
15.79,267.46,30.95,36.07,74.77,319.22,14.56,106.31,-13.77,202.38,43.66,23.89,52.84,32.32
-24.96,263.59,12.43,46.99,45.47,348.84,13.84,164.06,236.59,294.03,77.86,148.57,43.21,58.83
-20.61,198.39,158.46,105.58,80.79,289.37,5.34,139.49,-223.22,166.53,61.14,61.31,-4.32,72.82
118.15,112.41,35.21,62.81,74.09,284.10,4.37,143.90,262.47,230.76,98.08,49.60,82.08,35.09
8.18,133.15,68.64,43.42,100.25,359.55,25.12,104.96,88.22,203.87,64.85,86.82,23.39,42.77
46.85,115.48,50.67,81.16,20.59,151.57,12.16,142.30,-138.27,200.57,114.17,33.39,-1.93,30.80
-13.11,124.65,7.42,63.84,57.07,381.89,13.34,140.96,23.88,218.65,67.22,142.58,40.38,36.16
-6.14,148.32,101.56,57.77,96.43,492.70,16.57,179.16,-59.63,180.24,72.27,26.41,36.17,46.16
13.59,408.00,34.93,75.83,64.25,290.22,13.18,138.66,-394.76,261.55,60.51,18.89,146.60,46.17
-5.93,182.27,104.86,58.75,46.55,406.62,16.17,160.20,108.36,155.20,43.66,18.79,43.35,47.38
17.86,210.19,2.64,65.41,36.02,397.30,19.60,124.00,-396.87,420.84,73.31,80.94,89.50,47.93
-19.92,138.19,20.67,82.85,85.97,456.73,11.03,137.51,-182.68,181.46,52.35,57.39,137.43,26.15
-12.91,233.54,75.17,52.62,65.52,235.51,23.02,127.02,98.08,130.06,62.35,16.57,12.48,50.77
-5.70,475.14,73.95,59.77,54.64,368.50,10.57,156.78,-87.40,109.94,78.92,44.73,123.34,34.42
7.93,155.91,83.15,68.08,29.41,179.94,5.30,182.32,-235.03,148.89,63.33,93.73,47.64,40.60
-16.92,172.15,130.18,31.28,39.74,367.69,18.75,198.64,-592.28,166.14,61.56,64.56,113.91,56.15
-45.57,242.93,82.60,61.83,45.66,242.63,12.07,120.59,82.02,222.85,74.19,55.18,67.27,50.25
17.05,337.06,56.12,41.58,58.42,183.23,9.46,110.92,-43.14,251.37,64.26,50.27,124.48,19.29
22.86,243.30,103.20,59.83,88.58,311.53,7.39,134.33,-2.17,217.59,65.82,93.72,-13.26,28.23
-5.15,165.44,6.44,107.85,47.29,302.59,15.50,178.81,-399.91,191.22,57.19,43.44,116.87,35.27
38.13,420.79,16.29,46.26,67.92,408.86,9.13,139.87,384.80,275.68,71.29,78.56,106.13,22.23
-2.76,158.33,14.85,75.83,115.49,262.25,17.79,140.01,11.59,206.81,67.16,34.89,119.07,38.09
31.99,184.02,85.42,45.64,41.88,398.67,10.59,163.38,-102.12,189.40,65.27,54.69,41.10,62.91
5.13,115.01,87.62,67.40,54.92,282.96,20.82,158.32,147.87,142.76,54.81,47.00,154.22,44.01
41.05,137.78,101.81,99.90,57.30,212.13,19.37,120.02,-110.25,222.88,74.12,34.71,92.33,26.95
-32.44,199.88,48.59,80.32,41.90,415.34,14.28,120.47,-288.74,254.87,58.29,16.87,53.04,25.67
-2.41,502.70,75.62,71.67,75.99,331.17,14.08,127.16,96.69,261.72,58.94,36.41,118.07,63.78
17.36,383.98,12.01,52.34,117.46,403.74,19.37,159.90,41.69,144.58,71.34,51.23,118.10,51.11
2.17,127.54,76.69,101.93,28.07,300.99,5.01,178.62,-331.25,190.41,60.52,82.82,113.86,53.36
-30.49,289.47,-3.71,52.48,72.22,358.55,16.81,176.23,245.54,151.94,83.37,36.12,57.92,37.39
-33.56,172.57,118.43,69.25,76.61,251.65,8.77,147.91,-37.96,178.21,69.47,32.37,111.21,63.14
6.70,169.89,84.88,83.68,65.31,304.51,14.95,210.99,-77.68,246.04,57.92,82.16,48.96,37.13
43.12,256.21,57.45,95.22,59.63,293.60,11.51,142.74,118.38,219.36,62.65,46.69,36.36,31.71
38.49,150.70,97.42,82.47,49.14,258.78,12.58,168.43,88.84,181.48,72.61,65.43,18.05,44.72
22.91,398.98,-17.47,60.46,16.13,416.93,11.88,148.68,22.04,105.95,59.37,46.15,86.56,38.10
-11.38,329.06,73.27,72.47,113.31,335.10,17.25,233.32,-115.80,164.73,43.66,47.22,76.47,50.64
-21.46,195.32,57.71,45.58,53.97,472.24,11.68,111.86,-314.86,150.17,62.56,115.57,92.41,37.47
-68.71,299.45,63.00,71.76,26.99,141.40,23.76,136.20,372.40,331.00,85.83,30.98,162.02,45.05
92.46,127.55,72.17,30.05,88.14,368.86,18.23,139.28,-376.92,144.45,67.63,91.72,79.56,39.15
37.27,196.58,-0.39,67.26,84.12,297.59,9.20,212.03,-92.65,227.21,69.49,134.90,116.13,12.95
68.64,263.79,94.43,62.03,39.38,241.68,8.75,209.95,107.29,192.42,90.69,39.13,103.42,40.93
12.69,224.40,34.84,46.03,19.79,219.53,8.94,150.92,70.62,290.61,60.92,50.92,161.49,65.60
69.94,460.92,85.05,91.38,58.23,335.92,13.79,111.63,-75.83,277.52,59.46,74.42,60.04,52.68
-33.01,158.02,32.70,51.38,45.58,411.30,9.56,115.00,-230.23,202.97,70.27,80.02,-6.28,43.77
-15.35,190.43,14.06,70.72,49.94,219.29,8.24,131.74,-47.96,193.07,68.53,70.11,51.08,36.07
-13.48,136.65,47.33,56.79,48.61,494.92,13.74,95.34,344.86,143.01,81.06,74.81,115.03,46.03
6.80,217.68,139.79,32.97,51.32,293.83,7.84,188.18,179.44,183.75,66.95,57.91,91.76,49.66
-7.47,183.37,68.58,60.05,54.51,328.17,15.00,110.24,-400.98,165.68,54.39,23.89,62.14,91.84
-16.21,82.44,200.89,32.00,41.51,266.87,15.35,118.53,213.32,253.54,91.30,53.00,72.25,32.45
48.51,249.39,25.97,113.85,66.42,286.74,12.81,180.12,22.93,126.44,123.39,47.71,91.01,31.99
33.80,153.59,-35.60,56.42,57.24,454.39,8.15,146.10,35.99,261.03,70.27,72.62,115.27,37.11
-25.70,164.88,42.88,53.49,39.14,278.68,13.10,147.50,-87.30,133.22,71.46,52.80,34.38,49.97
-8.54,364.56,47.83,73.93,45.66,396.46,19.77,134.92,-34.83,163.63,65.50,102.55,44.20,57.96
-46.55,149.55,34.63,55.38,30.72,321.33,12.58,218.46,-45.01,198.64,71.54,55.88,63.89,55.34
141.86,131.48,46.35,57.96,102.56,345.68,12.93,138.19,7.12,380.32,73.11,26.34,43.58,35.77
-27.93,185.63,-32.49,63.54,39.60,405.07,10.72,185.62,90.54,413.57,61.32,118.29,7.98,76.85
4.96,149.87,24.23,47.35,104.31,375.63,16.54,167.06,-65.85,170.14,55.84,64.49,4.16,51.25
-34.52,221.44,83.09,79.73,66.10,329.66,8.19,182.55,174.97,199.97,62.75,27.57,135.76,72.92
-56.26,128.76,-3.34,61.07,70.02,456.38,19.68,143.50,-456.31,179.16,59.07,67.74,39.68,59.55
39.95,136.57,12.79,49.06,41.84,350.89,17.97,131.35,-81.90,192.91,56.19,108.97,48.19,54.63
11.50,223.44,17.12,71.78,62.86,245.12,6.46,153.32,50.54,162.49,64.29,54.59,75.48,45.23
-15.30,362.89,133.81,43.49,35.44,303.58,14.02,164.42,-393.50,169.62,53.32,63.27,190.50,61.08
20.59,566.86,20.22,130.64,96.93,365.35,11.47,143.14,38.89,245.49,71.72,59.24,100.91,44.63
10.51,195.35,113.87,40.20,20.98,385.33,17.95,119.04,8.38,289.32,73.33,60.10,146.05,46.72
-20.89,206.25,-3.75,106.20,38.71,223.65,10.23,163.02,-415.46,144.38,43.66,25.58,91.22,40.58
50.42,82.44,-32.19,56.27,73.81,340.51,6.61,136.21,-137.45,186.54,70.16,85.05,75.78,43.06
-14.02,156.15,-4.84,50.48,27.85,193.32,14.06,111.03,-535.97,229.07,57.29,60.92,96.99,58.54
-50.48,168.52,17.87,57.91,56.15,446.30,13.08,143.39,265.91,240.89,78.10,46.04,39.80,55.72
-51.00,240.12,35.79,45.46,64.86,288.22,11.26,169.22,-26.60,229.33,64.11,101.08,83.66,27.06
-8.70,211.61,-54.49,82.16,71.32,397.44,18.68,148.98,-102.51,174.36,43.66,98.93,69.48,56.35
34.30,122.78,83.50,45.83,42.74,233.37,17.78,113.12,101.13,216.93,43.66,65.55,135.06,18.89
50.65,165.38,-24.96,58.76,40.19,467.03,12.56,162.21,-62.61,161.49,61.51,62.08,69.01,82.30
-116.61,219.30,60.46,111.95,28.49,346.29,12.38,113.71,446.48,182.59,56.60,30.79,183.92,81.71
59.69,171.61,27.87,43.97,30.52,369.60,10.31,135.70,-8.12,159.69,63.14,30.54,77.51,16.78
20.44,490.74,37.97,33.47,59.06,273.68,15.36,188.49,-314.43,313.40,64.79,47.30,147.42,39.18
-60.56,262.39,41.39,137.70,46.33,461.60,8.68,134.50,-287.16,182.06,56.51,41.67,9.26,52.84
79.43,223.66,10.68,83.95,94.02,262.89,8.75,97.93,37.35,164.52,62.64,76.52,23.16,34.66
-31.34,506.38,59.55,49.61,46.69,322.22,17.99,108.83,-15.86,416.17,65.52,42.05,75.34,55.28
8.07,212.35,-10.55,86.67,125.17,345.09,8.88,174.65,-137.52,165.73,75.10,52.49,41.63,36.14
31.14,371.79,29.65,37.68,20.43,282.20,14.80,205.23,95.39,204.54,69.10,85.97,67.19,86.36
